Indicateur,Label,Hypothese,Modele,REF_mean,Proj_2050,Proj_2100,Delta_2050,Delta_2100,Drift
RRq99_yr,Pr̩cip. remarquables P99 (mm),reguliere,RandomForest,22.8391,22.3728,24.2422,-0.4662,1.4032,3.5145
RRq99_yr,Pr̩cip. remarquables P99 (mm),pessimiste,RandomForest,22.8391,23.7538,27.1925,0.9148,4.3534,6.4647
Rx1d_yr,Pr̩cip. extr̻mes max annuel (mm),optimiste,RandomForest,38.0889,35.8539,38.6148,-2.235,0.5259,5.1905
Rx1d_yr,Pr̩cip. extr̻mes max annuel (mm),reguliere,RandomForest,38.0889,35.778,38.4527,-2.3109,0.3638,5.0284
Rx1d_yr,Pr̩cip. extr̻mes max annuel (mm),pessimiste,RandomForest,38.0889,38.2642,43.7641,0.1753,5.6752,10.3398
RRq99refD_yr,Fr̩quence pr̩cip. remarquables (j),optimiste,RandomForest,3.6478,3.8028,5.0048,0.155,1.357,2.2598
RRq99refD_yr,Fr̩quence pr̩cip. remarquables (j),reguliere,RandomForest,3.6478,3.7175,4.8225,0.0697,1.1748,2.0775
RRq99refD_yr,Fr̩quence pr̩cip. remarquables (j),pessimiste,RandomForest,3.6478,4.499,6.4921,0.8512,2.8444,3.7471
IFM40_yr,Indicateur feux m̩t̩o > 40 (j),optimiste,HuberReg,0.7821,19.9915,151.2211,19.2094,150.4391,-27.9309
IFM40_yr,Indicateur feux m̩t̩o > 40 (j),reguliere,HuberReg,0.7821,8.6337,126.9568,7.8516,126.1747,-52.1953
IFM40_yr,Indicateur feux m̩t̩o > 40 (j),pessimiste,HuberReg,0.7821,-26.074,52.8085,-26.8561,52.0264,-126.3436
SWI04_yr,Jours SWI < 0.4 (j),optimiste,SVR_RBF,122.8384,123.9362,124.7436,1.0978,1.9052,1.518
SWI04_yr,Jours SWI < 0.4 (j),reguliere,SVR_RBF,122.8384,131.4921,140.8858,8.6537,18.0474,17.6602
SWI04_yr,Jours SWI < 0.4 (j),pessimiste,SVR_RBF,122.8384,134.102,146.4615,11.2636,23.6231,23.2359
